MinifigNumber,MinifigName,MinifigCategory,OwnedInSets,OwnedLoose
"sh246","The Flash - Short Legs","Super Heroes / Mighty Micros",1,0,
"sw622","The Inquisitor","Star Wars / Star Wars Rebels",1,0,
"sh074","The Mandarin","Super Heroes / Iron Man 3",1,0,
"sh070","The Mandarin (Dark Green Cape)","Super Heroes / Iron Man 3",1,0,
"sh018","Thor - Beard","Super Heroes / Avengers",1,0,
"lor079","Thranduil","The Hobbit and the Lord of the Rings / The Hobbit",2,0,
"sw457","TIE Bomber Pilot (75008)","Star Wars / Star Wars Episode 4/5/6",1,0,
"sw543","Tie Fighter Pilot (Light Flesh, Patterned Head)","Star Wars / Star Wars Episode 4/5/6",1,0,
"sw268a","TIE Fighter Pilot (Patterned Head)","Star Wars / Star Wars Episode 4/5/6",2,0,
"sw621","Tie Fighter Pilot (Rebels)","Star Wars / Star Wars Rebels",1,0,
"sw788","TIE Striker Pilot","Star Wars / Star Wars Rogue One",1,0,
"col219","Tiger Woman - Minifig only Entry","Collectible Minifigures / Series 14 Minifigures",1,0,
"cre001","Tina, Orange Torso, Light Gray Legs","For Juniors / General",2,0,
"col149","Tomahawk Warrior - Minifig only Entry","Collectible Minifigures / Series 10 Minifigures",1,0,
"sh069","Tony Stark","Super Heroes / Iron Man 3",1,0,
"col158","Trendsetter - Minifig only Entry","Collectible Minifigures / Series 10 Minifigures",1,0,
"col232","Tribal Woman - Minifig only Entry","Collectible Minifigures / Series 15 Minifigures",1,0,
"nex022","Ultimate Beast Master (70334)","Nexo Knights / General",1,0,
"nex023","Ultimate Clay","Nexo Knights / General",1,0,
"nex054","Ultimate Flama","Nexo Knights / General",1,0,
"sh175","Ultron Prime","Super Heroes / Avengers Age of Ultron",1,0,
"sw454","Umbaran Soldier","Star Wars / Star Wars Clone Wars",2,0,
"col197","Unicorn Girl - Minifig only Entry","Collectible Minifigures / Series 13 Minifigures",2,0,
"tlm093","Unikitty - Puzzled, Sitting (70818)","The Lego Movie / General",1,0,
"sw655","Unkar's Thug (75099)","Star Wars / Star Wars Episode 7",1,0,
"dis017","Ursula - Minifig only Entry","Collectible Minifigures / Disney",1,0,
"cty568","Utility Shuttle Astronaut - Male","Town / City / Space Port",1,0,
"coltlbm05","Vacation Batman - Minifig Only Entry","Collectible Minifigures / The LEGO Batman Movie",1,0,
"loc080","Vardy","Legends of Chima / General",1,0,
"tlm011","Velma Staplebot - Minifig only Entry","Collectible Minifigures / The Lego Movie",1,0,
"sh055","Venom - Black Spines","Super Heroes / Ultimate Spider-Man",1,0,
"col290","Veterinarian - Minifig only Entry","Collectible Minifigures / Series 17 Minifigures",1,0,
"col182","Video Game Guy - Minifig only Entry","Collectible Minifigures / Series 12 Minifigures",1,0,
"tlm092","Vitruvius - Ghost Shroud (70818)","The Lego Movie / General",1,0,
"cty685","Volcano Explorer - Male Worker, Suit with Harness, Construction Helmet, Breathing Neck Gear with Yellow Airtanks, Trans-Black Visor, Goatee (30350)","Town / City / Volcano Explorers",1,0,
"coltlnm16","Volcano Garmadon - Minifig Only Entry, no stand, no accessories","Collectible Minifigures / The LEGO Ninjago Movie",1,0,
"col214","Wacky Witch - Minifig only Entry","Collectible Minifigures / Series 14 Minifigures",1,0,
"col129","Waiter - Minifig only Entry","Collectible Minifigures / Series  9 Minifigures",2,0,
"loc026","Wakz","Legends of Chima / General",1,0,
"loc008","Wakz - Armor","Legends of Chima / General",1,0,
"sh066","War Machine","Super Heroes / Iron Man 3",1,0,
"njo075","Warrior","Ninjago / General",1,0,
"col148","Warrior Woman - Minifig only Entry","Collectible Minifigures / Series 10 Minifigures",1,0,
"sim041","Waylon Smithers - Minifig only Entry","Collectible Minifigures / The Simpsons Series 2",1,0,
"col172","Welder - Minifig only Entry","Collectible Minifigures / Series 11 Minifigures",1,0,
"hol016","White Hoodie with Blue Pockets, Blue Legs, Lime Short Bill Cap","Holiday / General",1,0,
"hol052","White Hoodie with Blue Pockets, Dark Blue Short Legs with Skates, Dark Brown Hair Ponytail Long French Braided","Holiday / Christmas",1,0,
"tlm004","Wild West Wyldstyle - Minifig only Entry","Collectible Minifigures / The Lego Movie",1,0,
"col250","Wildlife Photographer - Minifig only Entry","Collectible Minifigures / Series 16 Minifigures",1,0,
"tlm014","Wiley Fusebot - Minifig only Entry","Collectible Minifigures / The Lego Movie",1,0,
"loc015","Wilhurt","Legends of Chima / General",1,0,
"tlm008","William Shakespeare - Minifig only Entry","Collectible Minifigures / The Lego Movie",1,0,
"loc039","Windra","Legends of Chima / General",1,0,
"gs003","Winged Mosquitoid","Space / Galaxy Squad",3,0,
"hol051","Winter Jacket Zipper, Blue Legs, Dark Orange Hair, Crooked Smile","Holiday / Christmas",1,0,
"hol065","Winter Jacket Zipper, Dark Blue Legs, Dark Blue Knit Cap, Freckles (10249)","Holiday / Christmas",1,0,
"loc009","Winzar","Legends of Chima / General",1,0,
"col179","Wizard - Minifig only Entry","Collectible Minifigures / Series 12 Minifigures",1,0,
"col211","Wolf Guy - Minifig only Entry","Collectible Minifigures / Series 14 Minifigures",2,0,
"sh017","Wolverine","Super Heroes / X-Men",1,0,
"sh004","Wonder Woman","Super Heroes / Superman",1,0,
"loc100","Worriz - Fire Chi","Legends of Chima / General",1,0,
"loc038","Worriz - Flat Silver Armor, Cape","Legends of Chima / General",1,0,
"col241","Wrestling Champion - Minifig only Entry","Collectible Minifigures / Series 15 Minifigures",1,0,
"tlm017","Wyldstyle with Hood","The Lego Movie / General",1,0,
"sw544","X-Wing Pilot (75032)","Star Wars / Star Wars Episode 4/5/6",1,0,
"col170","Yeti - Minifig only Entry","Collectible Minifigures / Series 11 Minifigures",1,0,
"sw446","Yoda (Clone Wars, White Hair)","Star Wars / Star Wars Clone Wars",1,0,
"col297","Yuppie - Minifig only Entry","Collectible Minifigures / Series 17 Minifigures",1,0,
"idea008","Yve","LEGO Ideas / General",2,0,
"sw754","Zander (75147)","Star Wars / Star Wars The Freemaker Adventures",1,0,
"njo001","Zane","Ninjago / General",1,0,
"njo076","Zane - Kimono","Ninjago / General",1,0,
"coltlnm10","Zane - Minifig Only Entry, no stand, no accessories","Collectible Minifigures / The LEGO Ninjago Movie",1,0,
"sw575","Zeb Orrelios","Star Wars / Star Wars Rebels",1,0,
"sw260","Zev Senesca","Star Wars / Star Wars Episode 4/5/6",1,0,
"coltlbm15","Zodiac Master - Minifig Only Entry","Collectible Minifigures / The LEGO Batman Movie",1,0,
"min010","Zombie","Minecraft / General",1,0,
"col223","Zombie Businessman - Minifig only Entry","Collectible Minifigures / Series 14 Minifigures",1,0,
"col218","Zombie Cheerleader - Minifig only Entry","Collectible Minifigures / Series 14 Minifigures",1,0,
"col212","Zombie Pirate - Minifig only Entry","Collectible Minifigures / Series 14 Minifigures",1,0,






